OCLC,TITLE,AUTHORS,PUB_DATE,PUBLISHER,GENRE,SUMMARY,FORMAT,RECORD #(BIBLIO),CALL #(BIBLIO),LANG,LOCATION,SUBJECT
811599504,River inside the river,Gregory Orr,2013,W.W. Norton &amp; Company,Poetry ,A poet  author  and English professor retells the story of Adam and Eve in three sequences of verse that reflect his own spiritualism and describe the ancient and powerful human urge to recapture what is lost ,22 cm,b3865409x,PS3565.R7 R58 2013,eng,hxxx0,Poetry
827083563,Robust structural design against self-excited vibrations,Gottfried Spelsberg-Korspeter,2013,Springer,,This book studies methods for a robust design of rotors against self-excited vibrations  The occurrence of self-excited vibrations in engineering applications if often unwanted and in many cases difficult to model  Thinking of complex systems such as machines with many components and mechanical contacts  it is important to have guidelines for design so that the functionality is robust against small imperfections  This book discusses the question on how to design a structure such that unwanted self-excited vibrations do not occur  It shows theoretically and practically that the old design rule to avoid multiple eigenvalues points toward the right direction and have optimized structures accordingly  This extends results for the well-known flutter problem in which equations of motion with constant coefficients occur to the case of a linear conservative system with arbitrary time periodic perturbations ,24 cm.,b38654106,TA658 .S64 2013,eng,hxxx0,Self-induced vibration
830124326,Romantic feuds,Kim Wheatley,2013,Ashgate,Criticism  interpretation  etc ,,24 cm.,b38654118,PR447 .W44 2013,eng,hxxx0,"English literature -- 19th century -- History and criticism;""Authors, English -- 19th century -- Political and social views"";""Romanticism -- England"";""England -- Intellectual life -- 19th century"""
823045296,The saloon and the mission,Eoin F  Cannon,2013,University of Massachusetts Press,History ,"Eoin F  Cannon illuminates the role sobriety movements have played in placing notions of personal and societal redemption at the heart of modern American culture  He argues against the dominant scholarly perception that recovery narratives are private and apolitical  showing that in fact the genre\s conventions turn private experience to public political purpose  Further  the New Deal-era Alcoholics Anonymous refitted the drunkard\s conversion as a model of selfhood for the liberal era  allowing for a spiritual redemption story that could accommodate a variety of identities and compulsions  Cannon concludes by considering how contemporary recovery narratives represent both a crisis in liberal democracy and a potential for redemptive social progress  (back cover, ",24 cm,b3865412x,HV5279 .C37 2013,eng,hxxx0,"Alcoholism -- Social aspects -- United States -- History;""Alcoholism -- Treatment -- United States -- History"";""Alcoholics -- Rehabilitation -- United States -- History"";""Temperance in literature"";""Alcoholism in literature"";""Rescue missions (Church work) -- United States -- History"";""Recovery movement -- United States -- History"""
810442726,"The self as a sign, the world, and the other living semiotics",Susan Petrilli,2013,Transaction Publishers,,,24 cm,b38654131,P99 .P4683 2013,eng,hxxx0,"Semiotics;""Self"""
820349491,Separated and divorced women in India,Kirti Singh,2013,SAGE Publications,,,23 cm,b38654143,HQ928 .S56 2013,eng,hxxx0,"Divorced women -- India -- Economic conditions;""Separated women -- India -- Economic conditions"";""Separate maintenance -- India"";""Divorced women -- Legal status, laws, etc. -- India"""
827973615,Serotonergic systems,Reyna O  Villanueva,2013,"Nova Science Publishers, Inc.",,,24 cm.,b38654155,QP368.5 .S47 2013,eng,hxxx0,"Serotoninergic mechanisms;""Serotonin"""
827267426,Shaping South East Europe's security community for the Twenty-First century,"Radovan Vukadinovic\\xcc\\x81,  Savo Kentera,  R  Craig Nation,  Sharyl Cross",2013,Palgrave Macmillan,,This book brings together leading academic specialists and policy practitioners to explore and develop cooperative approaches for managing critical contemporary and emerging security challenges for South East Europe and the wider international community  Including a range of contributors from South East European countries  the United States  and other interested regional parties  this book focuses upon trust  partnership  and a striving for more effective regional integration  In antithesis to traditional approaches to national security driven by the illusions of power and national egotism  this collection adopts what has become the dominant approach to security management in South East Europe today - an attempt to conceptualize and realize security in all of its aspects as a cooperative endeavour for the collective good  This book explores transnational challenges that will dominate the international security agenda in the years to come  in South East Europe and beyond  Issues considered include management of weapons of mass destruction  cyber security  transnational organized crime and corruption  violent extremism and terrorism  energy security  maritime security  economic development  and demographic change ,23 cm.,b38654167,JZ6009.B35 S53 2013,eng,hxxx0,"Security, International -- Balkan Peninsula;""Balkan Peninsula -- Foreign relations"""
813286812,Shrapnel,"  Wharton  William ,  William Wharton","2013, 2012",William Morrow,Biography   Personal narratives,Presents a collection of tales detailing the late author\s harrowing experiences during World War II and the events that influenced some of his greatest works  including his National Book Award winner  Birdy ,19 cm,b38654179,PS3573.H32 Z46 2013,eng,hxxx0,"Wharton, William;""United States. Army -- Biography"";""World War, 1939-1945 -- Personal narratives, American"";""World War, 1939-1945 -- Campaigns -- France"";""World War, 1939-1945 -- Campaigns -- Germany"""
820780625,Silent film comedy and American culture,Alan Bilton,2013,Palgrave Macmillan,Criticism  interpretation  etc ,,23 cm,b38654180,PN1995.9.C55 B64 2013,eng,hxxx0,"Comedy films -- United States -- History and criticism;""Silent films -- United States -- History and criticism"";""Motion pictures -- Social aspects -- United States -- History and criticism"""
806020070,Singularity hypotheses,"Amnon H Eden,  Eric Steinhart",2012,Springer,,Singularity Hypotheses: A Scientific and Philosophical Assessment offers authoritative  jargon-free essays and critical commentaries on accelerating technological progress and the notion of technological singularity  It focuses on conjectures about the intelligence explosion  transhumanism  and whole brain emulation  Recent years have seen a plethora of forecasts about the profound  disruptive impact that is likely to result from further progress in these areas  Many commentators however doubt the scientific rigor of these forecasts  rejecting them as speculative and unfounded ,24 cm.,b38654192,QA76.9 .S63 2012,eng,hxxx0,"Artificial intelligence;""Technological innovations"""
813301003,Situated testimonies,Laurie J Sears,2013,University of Hawaiʻi Press,Criticism  interpretation  etc ,,24 cm,b38654209,PL5080 .S325 2013,eng,hxxx0,"Indonesian literature -- 20th century -- History and criticism;""Indonesian literature (Dutch) -- History and criticism"";""Literature and history -- Indonesia"";""Psychic trauma in literature"";""Psychoanalysis and literature -- Indonesia"""
816564671,"Slavery in American children's literature, 1790-2010",Paula T  Connolly,2013,University of Iowa Press,Criticism  interpretation  etc ,,24 cm,b38654210,PS374.S58 C65 2013,eng,hxxx0,"Children's literature, American -- 18th century;""Children's literature, American -- 19th century"";""Children's literature, American -- 20th century"";""Children's literature, American -- 21st century"";""Slavery in literature -- 18th century"";""Slavery in literature -- 19th century"";""Slavery in literature -- 20th century"";""Slavery in literature -- 21st century"";""African American children in literature"";""African Americans in literature"""
833145283,The small nation solution,John H Bodley,2013,"Rowman &amp; Littlefield Publishers, Inc.",Cross-cultural studies ,In The Small Nation Solution  eminent anthropologist John H  Bodley argues that the contemporary global problems of poverty  conflict  and environmental degradation are problems of scale and power  Bodleys solution involves keeping nations small so as to limit the power of elite directors  It is a simple idea with profound implications  He spotlights successful small nations around the world as the best working models of sustainable sociocultural systems and shows how these diverse small nations can be the building blocks of a transformed global system that could save the world  -- Provided by publisher ,24 cm,b38654222,GN358 .B627 2013,eng,hxxx0,"Social change;""Social systems"";""Social problems"";""Culture and globalization"";""Acculturation"";""States, Small -- Cross-cultural studies"";""States, Small -- Economic conditions"""
827256455,SMEs as the unknown stakeholder,Massimiliano Di Bitetto,2013,Palgrave Macmillan,,,22 cm,b38654234,HD2346.E85 S6364 2013,eng,hxxx0,"Small business -- European Union countries;""Small business -- Government policy -- European Union countries"";""Government aid to small business -- European Union countries"";""Industrial relations -- European Union countries"";""Business and politics -- European Union countries"""
827008079,Solar technologies for the 21st century,Anco S  Blazev,2013,"The Fairmont Press, Inc., CRC Press, Taylor &amp; Francis Group",,This book examines solar technologies  describes their properties  and evaluates the technological potential of each  It also reviews the logistics of deploying solar energy as a viable and sustainable way to solve urgent energy  environmental  and socio-economic problems  Topics discussed include solar power generation  todays solar technologies  solar thermal  silicon PV  thin PV  3-D solar cells  nano-PV  organic solar cells  solar successes and failures  solar power fields  finance and regulations  solar markets and solar energy and the environment ,29 cm,b38654246,TJ810 .B55 2013,eng,hxxx0,"Solar energy;""Solar energy industries"""
818735143,Somatostatin,"Allison Anderson,  Taylor McAnulty",2013,Novinka,,,23 cm.,b38654258,QP572.S59 S66 2013,eng,hxxx0,Somatostatin
825399151,Some vernacular railroad photographs,"Jeffrey T Brouws,  Wendy Burton",2013,W.W. Norton &amp; Company,Pictorial works   History ,,24 cm,b3865426x,TR715 .B76 2013,eng,hxxx0,"Photography of railroads -- History -- 20th century;""Railroads -- Pictorial works"";""Photograph collections -- United States"""
828715851,Spike timing,"Patricia M DiLorenzo,  J  D Victor",2013,CRC Press/Taylor &amp; Francis Group,,,24 cm.,b38654271,QP364 .S65 2013,eng,hxxx0,Neurocommunication
816030451,The star spangled Buddhist,Jeff Ourvan,2013,Skyhorse Publishing,,Approximately four million Americans claim to be Buddhist  Moreover  hundreds of thousands of Americans of various faiths read about Buddhism  are interested in its philosophical tenets  or fashionably view themselves as Buddhists  They\re part of what\s been described as the fastest-growing religious movement in America: a large group of people dissatisfied with traditional religious offerings and thirsty for an approach to spirituality grounded in logic and consistent with scientific knowledge  The Star Spangled Buddhist is a provocative look at these American Buddhists through their three largest movements in the United States: the Soka Gakkai International  Tibetan/Vajrayana Buddhism  and Zen Buddhism  The practice of each of these American schools  unlike most traditional Asian Buddhist sects  is grounded in the notion that all people are capable of attaining enlightenment in this lifetime  But the differences are also profound: the spectrum of philosophical expression among these American Buddhist schools is as varied as that observed between Reformed  Orthodox  and Hasidic Judaism  The Star Spangled Buddhist isn\t written from the perspective of a monk or academic but rather from the view of author Jeff Ourvan  a lifelong-practicing lay Buddhist  As Ourvan explores the American Buddhist movement through its most popular schools  he arrives at a clearer understanding for himself and the reader about what it means to be--and how one might choose to be--a Buddhist in America --Publisher\s description   Explore the full landscape of American Buddhism  Ourvan  a practicing lay Buddhist  reveals the history  practice  and specific community of believers of the three most popular Buddhist groups in America today ,24 cm,b38654283,BQ732 .O97 2013,eng,hxxx0,"Buddhism -- United States;""Buddhism and culture -- United States"""
827227647,The storytellers,Selene Wendt,2012,"Skira, Stenersen Museum, TrAP, Office for transnational arts production",Exhibition catalogs ,,28 cm,b38654295,N6497 .S76 2012,eng,hxxx0,"Literature in art -- Exhibitions;""Art, Modern -- 21st century -- Exhibitions"""
827242327,Stranger danger and the epidemic of fear,Jaap van Ginneken,2013,Eleven International Pub.,,,21 cm,b38654301,BF575.F2 G56 2013,eng,hxxx0,"Fear -- Social aspects;""Difference (Psychology)"";""Cultural pluralism"""
818735109,Streaming,Wheeler W  Dixon,2013,University Press of Kentucky,,Film stocks are vanishing  but the iconic images of the silver screen remain--albeit in new  sleeker formats  Today  viewers can instantly stream movies on televisions  computers  and smartphones  Gone are the days when films could only be seen in theaters or rented at video stores: movies are now accessible at the click of a button  and there are no reels  tapes  or discs to store  Any film or show worth keeping may be collected in the virtual cloud and accessed at will through services like Netflix  Hulu  and Amazon Instant  The movies have changed  and we are changing with them  The ways we communicate  receive information  travel  and socialize have all been revolutionized  In Streaming  Wheeler Winston Dixon reveals the positive and negative consequences of the transition to digital formatting and distribution  exploring the ways in which digital cinema has altered contemporary filmmaking and our culture  Many industry professionals and audience members feel that the new format fundamentally alters the art  while others laud the liberation of the moving image from the imperfect medium of film  asserting that it is both inevitable and desirable  Dixon argues that the change is neither good nor bad; it\s simply a fact  Hollywood has embraced digital production and distribution because it is easier  faster  and cheaper  but the displacement of older technology will not come without controversy  This groundbreaking book illuminates the challenges of preserving media in the digital age and explores what stands to be lost  from the rich hues of traditional film stocks to the classic movies that are not profitable enough to offer in streaming formats  Dixon also investigates the financial challenges of the new distribution model  the incorporation of new content such as webisodes  and the issue of ownership in an age when companies have the power to pull purchased items from consumer devices at their own discretion  Streaming touches on every aspect of the shift to digital production and distribution  It explains not only how the new technology is affecting movies  music  books  and games  but also how instant access is permanently changing the habits of viewers and influencing our culture --Publisher information ,23 cm,b38654313,TK5105.386 .D59 2013,eng,hxxx0,"Streaming technology (Telecommunications);""Digital video"";""Business enterprises -- Computer networks"""
818465805,Stubborn Poetries,Peter Quartermain,2013,The University of Alabama Press,Criticism  interpretation  etc ,,23 cm.,b38654325,PN1059.E94 Q37 2013,eng,hxxx0,"Experimental poetry -- History and criticism;""Avant-garde (Aesthetics)"";""Poetics -- Psychological aspects"""
820779539,The stuff you can't bottle,King Adz,2013,Thames &amp; Hudson,,In the networked  multimedia era of Internet 2 0  the only way for advertisers and brands to connect with the notoriously difficult youth market is to get involved with the cultures and subcultures that make up their world  Here  King Adz shares his unique insight into the lives of young people across the globe  His research has taken him to skate parks  clubs  gigs  music festivals and street art events in Europe and North America  Brazil  Russia  China  India  Hong Kong  South Africa and beyond  In each location  he has talked to young people to find out what really fires them  and he has talked to the advertising creatives who have succeeded in connecting with them  No one can predict what youth will be into next month  but this book shows how creatives can grab its attention  build a relationship and crack the market ,26 cm,b38654337,HF5415.332.Y66 A39 2013,eng,hxxx0,"Young adult consumers -- Attitudes;""Advertising -- Social aspects"";""Marketing"";""Young adults -- Attitudes"";""Young adults -- Conduct of life"";""Subculture"""
794041424,The surveillance-industrial complex,"Kirstie Ball,  Laureen Snider",2013,Routledge,,Today\s \surveillance society\ emerged from a complex of military and corporate priorities that were nourished through the active and \cold\ wars that marked the twentieth century  Two massive configurations of power - state and corporate - have become the dominant players  Mass targeted surveillance deep within corporate  governmental and social structures is now both normal and legitimate  The Surveillance-Industrial Complex examines the intersections of capital and the neo-liberal state in promoting the emergence and growth of the surveillance society  The chapters in this volume  written by internationally-known surveillance scholars from a number of disciplines  trace the connections between the massive multinational conglomerates that manufacture  distribute and promote technologies of \surveillance\  and the institutions of social control and civil society --Publisher\s website ,24 cm,b38654349,TK7882.E2 S85 2013,eng,hxxx0,"Electronic surveillance;""Social control"""
840937601,Sustaining human rights in the twenty-first century,"Katherine Hite,  Mark Ungar",2013,"John Hopkins University Press, Woodrow Wilson Center Press",,These essays take a much-needed look at the course of human rights strategies rooted in the last centurys struggles against brutally repressive dictators  Those struggles continue today across Latin America  Augmented by the pursuit of broader political  cultural  labor  and environmental rights  they hold accountable a much wider cast of national governments  local governments  international agencies  and multinational corporations  In Sustaining Human Rights in the Twenty-first Century  some of the Western Hemispheres leading human rights experts shape and bolster new approaches  from the concepts of rights to transnational efforts  by placing the struggle for rights in historical and comparative perspective  The contributors provide an historical framework  describe formal and legal institutions  and discuss the citizens movements and conceptions of citizenship that produce distinct kinds of political identities and struggles  -- Book jacket ,24 cm,b38654350,JC599.L3 S88 2013,eng,hxxx0,Human rights -- Latin America
851700346,The tales of Hoffmann,William P  Germano,2013,"Palgrave Macmillan, on behalf of the BFI",,,19 cm.,b38654362,PN1997.T3 G47 2013,eng,hxxx0,"Tales of Hoffman (Motion picture : 1951);""Motion pictures and opera"""
800039407,Tribal art,"Elisabeth Couturier,  Be\\xcc\\x81re\\xcc\\x81nice Geoffroy-Schneiter,  David Radzinowicz",2013,Flammarion,,From cave painting to aboriginal body art--the first tattoos--and from statues to masks  this volume covers the spectrum of tribal art and sets misconceptions straight  Gauguin  Picasso  and Giacometti were inspired by it--but what exactly is tribal art? Exposing old cliche\xcc\x81s and outdated ideas  this clearly written and vividly illustrated volume explains the art form\s key concepts--from the basics of material and form  to underlying beliefs--and takes the reader through its history  geography  and techniques  from the bright blue statues of the Solomon Islands to pre-Colombian abstract feather artwork  A section on the artists and movements inspired by tribal art attests to its lasting influence  while an illustrated list of the world\s thirty most significant works of tribal art allows the reader to discover their impact firsthand  A glossary of terms  a list of where to see tribal art  and a chronology of major ethnological expeditions and exhibitions complete this indispensable guide to the world\s oldest art--Amazon com  viewed July 1  2013 ,23 cm.,b38654374,N5311 .G4513 2012,eng,hxxx0,"Art, Primitive"
821560724,Tenth-century China and beyond,Wu Hung ,2012,"Art Media Resources, Inc., The Center for the Art of East Asia, University of Chicago",History   Conference papers and proceedings ,,27 cm,b38654386,N72.S6 T46 2012,eng,hxxx0,"Art and society -- China -- History -- Five dynasties and the Ten kingdoms, 907-979 -- Congresses"
844441018,Theorising democide,"MarkChou(Political scientist,",2013,Palgrave Macmillan,,The common assumption is that the path to democratisation is  once begun  near impossible to reverse  Particularly where democratic transition has been properly consolidated conventional wisdom and empirical evidence both suggest that no democracy should follow the example of Classical Athens or Germany\s Weimar Republic and return to despotism  Starting from the premise that democracies are often deeply implicated in their own downfall  Theorising Democide challenges this conventional view by showing how democratic collapse is symptomatic of the inherent logic of democracy  Democide  in some cases  can thus be understood as a kind of ideological suicide with the tenets and devices of democracy being somehow intrinsic to its own collapse  In other words democide denotes the capacity that democracy has to come undone  to risk its own safety  to take its own life while doing what it was intended to do ,23 cm.,b38654398,JC423 .C46 2013,eng,hxxx0,Democracy
825106430,Theory on the edge,"Margrit Shildrick,  Noreen Giffney",2013,Palgrave Macmillan,,,23 cm.,b38654404,HQ1600.3 .T54 2013,eng,hxxx0,"Feminism -- Ireland;""Sex -- Ireland"";""Ireland -- Social policy"";""Ireland -- Civilization"";""Ireland -- Social life and customs"""
811239059,Those who did not die,Ranjana Padhi,2012,SAGE,,Even as they produce food for society and its people  lives dependent on agriculture are barely able to make ends meet  The cost of food production far outweighs the returns; the peasantry is falling prey to indebtedness  both institutionalized and non- institutionalized  It is facing the severest of challenges  with even dalit landless labourers becoming victims of indebtedness and succumbing to suicide  Based on a study done in eight districts of the Malwa region of the Punjab  this book uses quantitative data along with field work  narratives and interviews with peasant unions ,22 cm,b38654416,HQ1744.P86 P33 2012,eng,hxxx0,"Rural women -- India -- Punjab -- Social conditions;""Rural women -- India -- Punjab -- Economic conditions"";""Women agricultural labor -- India -- Punjab"";""Agriculture -- Social aspects -- India -- Punjab"""
825047343,"Time, language, and visuality in Agamben's philosophy","  Jenny Doussan,  Agamben  Giorgio ",2013,Palgrave Macmillan,,,23 cm.,b38654428,B3611.A44 D68 2013,eng,hxxx0,"Agamben, Giorgio, 1942-"
819741553,Timeless teachers and ethical visions,K  K Kuriakose,2013,Information Age Publishing,,,24 cm,b3865443x,LB1025.3 .K85 2013,eng,hxxx0,"Education -- Philosophy;""Globalization"";""Education and state"""
812687882,"Tradition, culture and aesthetics in contemporary Asian cinema",Peter Pugsley,2013,Ashgate Publishing Limited,,From the critically acclaimed Malaysian film Sepet to the on-going box office successes of the films created by Hong Kong director Wong Kar Wai  cinematic texts from the nations of Asia are increasingly capturing audiences beyond their national boundaries  Tradition  Culture and Aesthetics in Contemporary Asian Cinema explores the rise of popular Asian cinema and provides an understanding of the aesthetic elements that mark these films as Asian cinema ,24 cm,b38654441,PN1993.5.A75 P84 2013,eng,hxxx0,"Motion pictures -- Asia;""Motion pictures -- Asia -- Aesthetics"";""Culture in motion pictures"""
846843996,Transforming the security classification system and improving declassification,Mitchell Bertolini,2013,Nova Publishers,,A democratic society is grounded on the informed participation of the citizenry  which in turn requires access to Government information  If officials are to be accountable for their actions and decisions  secrecy must be kept to the minimum necessary to meet legitimate national security considerations  An open documentary record of official decisions is essential to educate and inform the public and enable it to assess the policies of its elected leaders  While agencies need to modernise and improve overall records management performance  classified records pertaining to our nations security demand particular attention  Current practices for handling classification  declassification  and management of these records are outmoded  unsustainable  and keep too much information from the public  This book takes a look at transforming the security classification system and improving declassification efforts across government agencies ,24 cm.,b38654453,JK468.S4 T73 2013,eng,hxxx0,Security classification (Government documents) -- United States
816169511,Translation and the reconfiguration of power relations,"Beatrice Fischer,  Matilde Nisbeth Jensen",2012,Lit Verlag,,This volume presents translation as a powerful activity by revisiting the roles of translators and interpreters and the contexts of translation and interpreting in societies affected by globalization and migration  The articles cover topics such as the impact languages have on translation  the institutional constraints in the context of translation  and the challenges within the framework of multimodal translation  In recent years  questions of power in translation have emerged  In such a context  the contributions of this volume present new research paths that can be related to some of the most discussed issues of recent years in Translation Studies  The contributors are 14 PhD students who investigate the power relations in the context of censorship  ideology  localisation  multimodal translation  English as a lingua franca in translation  mandatory genres  and translation by non-professional subject-matter translators--Back cover ,21 cm.,b38654465,P306.97.S63 T73 2012,eng,hxxx0,Translating and interpreting -- Social aspects
813220883,Transpacific antiracism,"  Yuichiro Onishi,  Du Bois  W  E  B ",2013,New York University Press,,This fascinating and ground-breaking book offers a new window into the vital history of Afro-Asian solidarity against empire and white supremacy  Meticulously researched  it recovers the epistemological breakthroughs that emerged at the intersection of radical struggle and geographical reorientation  Through his sharp analysis of cross-cultural and transnational collectivity  Onishi provides a guidepost for all those interested in the study of utopian  boundary-crossing projects of the past  as well as the creation of future ones --Scott Kurashige  author of The Shifting Grounds of Race and co-author of The Next American Revolution   In this exhaustively-researched and beautifully-written book  Onishi uncovers a hidden history of Afro-Asian radicalism and internationalism  He presents bold and generative arguments about the ways in which the affiliation of kindred spirits across the Pacific enabled anti-racist intellectuals and activists from Japan and the U S  to forge a new philosophy of world history and formulate practical programs for liberation --George Lipsitz  author of How Racism Takes Place   Transpacific Antiracism introduces the dynamic process out of which social movements in Black America  Japan  and Okinawa formed Afro-Asian solidarities against the practice of white supremacy in the twentieth century  Yuichiro Onishi argues that in the context of forging Afro-Asian solidarities  race emerged as a political category of struggle with a distinct moral quality and vitality  This book explores the work of Black intellectual-activists of the first half of the twentieth century  including Hubert Harrison and W E B  Du Bois  that took a pro-Japan stance to articulate the connection between local and global dimensions of antiracism  Turning to two places rarely seen as a part of the Black experience  Japan and Okinawa  the book also presents the accounts of a group of Japanese scholars shaping the Black studies movement in post-surrender Japan and multiracial coalition-building in U S -occupied Okinawa during the height of the Vietnam War which brought together local activists  peace activists  and antiracist and antiwar GIs  Together these cases of Afro-Asian solidarity make known political discourses and projects that reworked the concept of race to become a wellspring of aspiration for a new society  -- Book cover ,24 cm,b38654477,E185.625 .O55 2013,eng,hxxx0,"African Americans -- Race identity -- History -- 20th century;""African Americans -- Relations with Japanese -- History -- 20th century"";""African Americans -- Foreign public opinion, Japanese"";""Du Bois, W. E. B. (William Edward Burghardt), 1868-1963 -- Political and social views"";""Anti-racism -- United States -- History -- 20th century"";""Anti-racism -- Japan -- History -- 20th century"";""African Americans -- Study and teaching -- Japan -- History -- 20th century"";""Okinawa-shi (Japan) -- Race relations -- History -- 20th century"""
819860768,Transpacific articulations,Chih-ming Wang,2013,University of Hawaiʻi Press,,,24 cm,b38654489,LB2376.5.C6 W36 2013,eng,hxxx0,"Chinese students -- Political activity -- United States;""College students -- Political activity -- United States"";""College students' writings, Chinese -- United States"";""College students' writings, American"""
810111314,Travel scholarships,"Teri J  Herna\\xcc\\x81ndez,  Jules Verne,  Arthur B  Evans",2013,Wesleyan University Press,Adventure fiction   Novels   Action and adventure fiction   Fiction ,,25 cm.,b38654490,PQ2469 .B613 2013,eng,hxxx0,Science fiction. gsafd
828265228,The tribal moment in American politics,Christine K  Gray,2013,"AltaMira Press, A division of Rowman &amp; Littlefield Publishers, Inc.",,In the \tribal moment in American politics  \ which occurred from the 1950s to the mid- to late-1970s  American Indians waged civil disobedience for tribal self-determination and fought from within the U S  legal and political systems  The U S  government responded characteristically  overall wielding its authority in incremental  frequently double-edged ways that simultaneously opened and restricted tribal options  The actions of Native Americans and public officials brought about a new era of tribal-American relations in which tribal sovereignty has become a central issue  underpinning self-determination  and involving the tribes  states  and federal government in intergovernmental cooperative activities as well as jurisdictional skirmishes  American Indian tribes struggle still with the impacts of a capitalist economy on their traditional ways of life  Most rely heavily on federal support  Yet they have also called on tribal sovereignty to protect themselves  Asking how and why the United States is willing to accept tribal sovereignty  this book examines the development of the \order\ of Indian affairs  Beginning with the nation\s founding  it brings to light the hidden assumptions in that order  It examines the underlying deep contradictions that have existed in the relationship between the United States and the tribes as the order has evolved  up to and into the \tribal moment \--Publisher\s website ,24 cm.,b38654507,E98.T77 G74 2013,eng,hxxx0,"Indians of North America -- Politics and government;""Indians of North America -- Government relations"";""Tribal government -- United States"";""Self-determination, National -- United States"";""United States -- Politics and government"";""United States -- Race relations"""
825746401,Triggering reality,"Hans Ibelings,  Robyn De Jong-Dalziel,  Paul Blackmore,  Giampiero Sanguigni",2012,The Architecture Observer,Exhibition catalogs ,,20 cm.,b38654519,NA1148.6 .S26 2012,eng,hxxx0,"Architecture -- Netherlands -- History -- 21st century -- Exhibitions;""Architectural firms -- Netherlands -- Exhibitions"";""Art and architecture -- Netherlands"";""Architecture and society -- Netherlands"""
809789680,True songs of freedom,"  JohnMacKay,  Stowe  Harriet Beecher ",2013,University of Wisconsin Press,Criticism  interpretation  etc ,,23 cm,b38654520,PS2954.U6 M26 2013,eng,hxxx0,"Stowe, Harriet Beecher, 1811-1896. Uncle Tom's cabin;""Stowe, Harriet Beecher, 1811-1896 -- Appreciation -- Russia"";""Stowe, Harriet Beecher, 1811-1896 -- Influence"";""Stowe, Harriet Beecher, 1811-1896 -- Translations into Russian -- History and criticism"";""Russia -- Intellectual life -- 1801-1917"";""Russia -- Intellectual life -- 20th century"";""Soviet Union -- Intellectual life"""
827256540,Twenty-First Century Fiction,"Rupert Hildyard,  Sia\\xcc\\x82n Helen Adiseshiah",2013,Palgrave Macmillan,Criticism  interpretation  etc ,,23 cm,b38654532,PN3504 .T78 2013,eng,hxxx0,Fiction -- 21st century -- History and criticism
833630159,The underside of politics,Sorin Radu Cucu,2013,Fordham University Press,Criticism  interpretation  etc ,"This book argues that during the Cold War modern political imagination was held captive by the split between two visions of universality--freedom in the West versus social justice in the East--and by a culture of secrecy that tied national identity to national security  Examining post-1945 American and Eastern European interpretive novels in dialogue with each other and with postfoundational democratic theory  The Underside of Politics brings to light the ideas  forces  and circumstances that shattered modernity\s promises (such as secularization  autonomy  and rights, on both sides of the Iron Curtain  In this context  literary fictions by Kundera and Roth  Popescu and Coover  Kis\xcc\x8c and DeLillo become global as they reveal the trials of popular sovereignty in the fog of the Cold War and trace the elements around which its world discourse or global picture is constructed: the atom bomb  Stalinist show trials  anticommunist propaganda  totalitarian terror  secret military operations  and political targeting --Publisher\s description ",24 cm,b38654544,PN3448.P6 C83 2013,eng,hxxx0,"Fiction -- 20th century -- History and criticism;""Cold War in literature"";""Political fiction -- History and criticism"";""National characteristics in literature"";""Cold War -- Social aspects -- Europe"""
825196363,Victorian conversion narratives and reading communities,Emily Walker Heady,2013,Ashgate,Criticism  interpretation  etc   History ,,25 cm,b38654556,PR878.R5 H43 2013,eng,hxxx0,"English fiction -- 19th century -- History and criticism;""Conversion in literature"";""Narration (Rhetoric) -- History -- 19th century"";""Englisch. gnd"";""Literatur. gnd"";""Bekehrung. gnd"""
827256635,Violence and the limits of representation,"Graham Matthews,  Sam Goodman",2013,Palgrave Macmillan,,In an era that plays host to war  terrorism  civil unrest  and economic uncertainty  it is more vital than ever to think critically about the ways in which violence is framed  mediated and regulated through representations  This book explores the variegated forms violence can take  not only physical but abstract  emotional and virtual  and directed not only against bodies but buildings  faiths  cultures  and classes  With essays by experts in literature  film  drama  art  and philosophy  Violence and the Limits of Representation contributes to a richer understanding of violence and its effects  This collection not only offers insight into the challenges and ethical issues involved in the representation of violence but  through a concern with the socio-political contexts of violence  offers a unique set of perspectives on the conflicts and concerns of the present --,23 cm,b38654568,HM1116 .V526 2013,eng,hxxx0,"Violence in popular culture;""Violence in mass media"";""Violence in literature"";""SOCIAL SCIENCE / Popular Culture. bisacsh"";""SOCIAL SCIENCE / Violence in Society. bisacsh"";""SOCIAL SCIENCE / Media Studies. bisacsh"""
820434241,"Visions of Britain, 1730-1830",Sebastian Mitchell,2013,Palgrave Macmillan,Criticism  interpretation  etc ,,23 cm,b3865457x,PR8511 .M58 2013,eng,hxxx0,"English literature -- Scottish authors -- History and criticism;""Scottish literature -- History and criticism"";""National characteristics, Scottish, in literature"""
846516368,What Did You Learn in the Real World Today?,Lars Bo Henriksen,2013,Aalborg Universitetsforlag,,,24 cm,b38654581,LB2322.2 .W43 2013,eng,hxxx0,"Education, Higher -- Aims and objectives"
